instruction	concept_list	shared_property
Use the Input below to identify the common property or characteristic shared by all these concepts.	atm card,atm machine,wallet,gift card,credit cards	used for financial transactions
Use the Input below to identify the common property or characteristic shared by all these concepts.	sprinkler system,hose,smoke detector,smoke alarm,fire alarm	used for fire safety
Use the Input below to identify the common property or characteristic shared by all these concepts.	band-aid,first aid kit,antiseptic,thermometer,bandages	used for first aid
Use the Input below to identify the common property or characteristic shared by all these concepts.	tackle box,safety gloves,waders,bait,coasts	used for fishing
Use the Input below to identify the common property or characteristic shared by all these concepts.	battle ropes,weightlifting equipment,exercise mat,medicine ball,jogging shoes	used for fitness
Use the Input below to identify the common property or characteristic shared by all these concepts.	skipping rope,treadmill,traffic cones,dumbbell,gym mat	used for fitness training
Use the Input below to identify the common property or characteristic shared by all these concepts.	mint,oregano,sage,seasoning,shallot	used for flavoring
Use the Input below to identify the common property or characteristic shared by all these concepts.	lemon,pepper,spices,onion,sugar bowl	used for flavoring food
Use the Input below to identify the common property or characteristic shared by all these concepts.	door mat,doormat,oak,hardwood,mahogany	used for flooring
Use the Input below to identify the common property or characteristic shared by all these concepts.	plane tickets,kite,aeroplane,glider,commercial planes	used for flying
Use the Input below to identify the common property or characteristic shared by all these concepts.	crab,animals,egg,salt,banana	used for food
Use the Input below to identify the common property or characteristic shared by all these concepts.	food processors,bowl,plate,carrot,kitchen shears	used for food preparation
Use the Input below to identify the common property or characteristic shared by all these concepts.	aluminum foil,vacuum sealer,freezer,plastic wrap,icebox	used for food preservation
Use the Input below to identify the common property or characteristic shared by all these concepts.	fridge,pantry,icebox,freezer,parchment paper	used for food storage
Use the Input below to identify the common property or characteristic shared by all these concepts.	running shoe,sandals,socks,shoelaces,hiking boots	used for footwear
Use the Input below to identify the common property or characteristic shared by all these concepts.	incense stick,potpourri,cologne,candle,scented candles	used for fragrance
Use the Input below to identify the common property or characteristic shared by all these concepts.	canoes,fiddlings,shows,dolls,movies	used for fun
Use the Input below to identify the common property or characteristic shared by all these concepts.	rooms,sofa,oak,table,chair	used for furniture
Use the Input below to identify the common property or characteristic shared by all these concepts.	volleyball net,baseball,dice,chessboard,marble	used for games
Use the Input below to identify the common property or characteristic shared by all these concepts.	dice,computer,tablet,computer tower,controller	used for gaming
Use the Input below to identify the common property or characteristic shared by all these concepts.	potting soil,gloves,weed whacker,bucket,compost	used for gardening
Use the Input below to identify the common property or characteristic shared by all these concepts.	battery,wind,adapter,gas,turbine	used for generating electricity
Use the Input below to identify the common property or characteristic shared by all these concepts.	sun hat,beach towel,beach hat,flip flops,swimwear	used for going to the beach
Use the Input below to identify the common property or characteristic shared by all these concepts.	golf shoes,caddy,scorecard,golf clubs,golf clubs	used for golfing
Use the Input below to identify the common property or characteristic shared by all these concepts.	spatula,skewers,barbecue grill,charcoal,grill brush	used for grilling
Use the Input below to identify the common property or characteristic shared by all these concepts.	comb,bathrooms,clip,hair dryer,hair tie	used for grooming
Use the Input below to identify the common property or characteristic shared by all these concepts.	mirror,comb,pick,curling iron,hair tie	used for grooming hair
Use the Input below to identify the common property or characteristic shared by all these concepts.	plant pot,watering can,garden bed,plant,vase	used for growing plants
Use the Input below to identify the common property or characteristic shared by all these concepts.	bars,rings,vault,gymnastics mat,parallel bars	used for gymnastics
Use the Input below to identify the common property or characteristic shared by all these concepts.	scissors,blow dryer,hair extensions,flatiron,hair clips	used for hair styling
Use the Input below to identify the common property or characteristic shared by all these concepts.	heat protectant spray,hair brush,curling w,hair clips,cutting shears	used for hairstyling
Use the Input below to identify the common property or characteristic shared by all these concepts.	hot pad,potholder,kitchen towel,oven mitt,kitchen towels	used for handling hot dishes
Use the Input below to identify the common property or characteristic shared by all these concepts.	pot holder,kitchen gloves,dish towel,trivet,oven mitt	used for handling hot items
Use the Input below to identify the common property or characteristic shared by all these concepts.	pot holder,kitchen towel,potholder,potholders,baking sheets	used for handling hot objects
Use the Input below to identify the common property or characteristic shared by all these concepts.	robots,success,neighbors,students,means	used for help
Use the Input below to identify the common property or characteristic shared by all these concepts.	topographical map,camping stove,canteen,trail,camelbak	used for hiking
Use the Input below to identify the common property or characteristic shared by all these concepts.	thermos,mug,glass,water bottle,pitcher	used for holding liquids
Use the Input below to identify the common property or characteristic shared by all these concepts.	legs,baskets,buckets,bottles,barrels	used for holds
Use the Input below to identify the common property or characteristic shared by all these concepts.	candle,vase,rug,carpet,chair cover	used for home decor
Use the Input below to identify the common property or characteristic shared by all these concepts.	drill,level,telescoping ladder,stud finder,paintings	used for home improvement
Use the Input below to identify the common property or characteristic shared by all these concepts.	drill bit,wrench,screwdriver,axe,hammer	used for home repairs
Use the Input below to identify the common property or characteristic shared by all these concepts.	bridle,horse saddle,reins,horse brush,stirrups	used for horseback riding
Use the Input below to identify the common property or characteristic shared by all these concepts.	paint scraper,paint can,paint tray,painter's tape,drop cloth	used for house painting
Use the Input below to identify the common property or characteristic shared by all these concepts.	sponge,washing machine,plunger,cleaning solution,dishwasher	used for household cleaning
Use the Input below to identify the common property or characteristic shared by all these concepts.	bullets,camouflage gear,rifles,weapons,shotgun	used for hunting
Use the Input below to identify the common property or characteristic shared by all these concepts.	water,drinking,thermos,gatorade,hydration bladder	used for hydration
Use the Input below to identify the common property or characteristic shared by all these concepts.	lotion,sink,soap,h,disinfectant wipes	used for hygiene
Use the Input below to identify the common property or characteristic shared by all these concepts.	sanitizer,shampoo,disposable gloves,soap,shower	used for hygiene purposes
Use the Input below to identify the common property or characteristic shared by all these concepts.	ice rink,pads,skate guards,skates,scarf	used for ice skating
Use the Input below to identify the common property or characteristic shared by all these concepts.	id card,signs,visas,pass,ticket	used for identification
Use the Input below to identify the common property or characteristic shared by all these concepts.	flashlight,light,lightbulb,spotlight,lamps	used for illumination
Use the Input below to identify the common property or characteristic shared by all these concepts.	gold,shell,pearl,earrings,silver	used for jewelry
Use the Input below to identify the common property or characteristic shared by all these concepts.	watch,metronome,pocket watch,wall clock,stopwatch	used for keeping time
Use the Input below to identify the common property or characteristic shared by all these concepts.	gloves,down comforter,blanket,coat,wool blanket	used for keeping warm
Use the Input below to identify the common property or characteristic shared by all these concepts.	bombers,baseball bats,violence,swords,explosives	used for kill
Use the Input below to identify the common property or characteristic shared by all these concepts.	weed wacker,moss,sod,shrub,shovel	used for landscaping
Use the Input below to identify the common property or characteristic shared by all these concepts.	iron,coat hanger,bleach,dishwasher,hanger	used for laundry
Use the Input below to identify the common property or characteristic shared by all these concepts.	light,flashs,lantern,lamp,chandelier	used for light
Use the Input below to identify the common property or characteristic shared by all these concepts.	lamp base,lamp shade,match,candle holder,batteries	used for lighting
Use the Input below to identify the common property or characteristic shared by all these concepts.	lamp,bulb,ceiling fan,floor lamp,lamp st	used for lighting a room
Use the Input below to identify the common property or characteristic shared by all these concepts.	earbuds,radio,music player,headphone,mp player	used for listening to music
Use the Input below to identify the common property or characteristic shared by all these concepts.	daybed,couch,blanket,futon,beanbag	used for lounging
Use the Input below to identify the common property or characteristic shared by all these concepts.	bronzer,blush,foundation,eye shadow,concealer	used for makeup
Use the Input below to identify the common property or characteristic shared by all these concepts.	brush,eyeshadow palette,makeup sponge,mascara,eyelash curler	used for makeup application
Use the Input below to identify the common property or characteristic shared by all these concepts.	coffee,coffee beans,tea leaf,teapots,blender	used for making beverages
Use the Input below to identify the common property or characteristic shared by all these concepts.	cocktail glass,cocktail shaker,jigger,shaker,grapefruit	used for making cocktails
Use the Input below to identify the common property or characteristic shared by all these concepts.	coffee filter,coffee grinder,milk frother,coffee machine,drip coffee maker	used for making coffee
Use the Input below to identify the common property or characteristic shared by all these concepts.	coffee,ice cube tray,kettle,cocktail shaker,teapot	used for making drinks
Use the Input below to identify the common property or characteristic shared by all these concepts.	fir,oak,teak,cedar wood,cherry	used for making furniture
Use the Input below to identify the common property or characteristic shared by all these concepts.	coffee cup,coffeemaker,espresso maker,coffee mug,tea	used for making hot beverages
Use the Input below to identify the common property or characteristic shared by all these concepts.	tea,kettle,coffee pot,coffee bean,teapot	used for making hot drinks
Use the Input below to identify the common property or characteristic shared by all these concepts.	platinum,sapphire,copper,pliers,jewelry wire	used for making jewelry
Use the Input below to identify the common property or characteristic shared by all these concepts.	banana,grapes,orange,lemon,apples	used for making juice
Use the Input below to identify the common property or characteristic shared by all these concepts.	guitar,sheet music,flute,drum set,piano	used for making music
Use the Input below to identify the common property or characteristic shared by all these concepts.	microwave popcorn,popcorn,microwave,butter,popcorn kernels	used for making popcorn
Use the Input below to identify the common property or characteristic shared by all these concepts.	lettuce,onion,broccoli,carrot,cucumber	used for making salads
Use the Input below to identify the common property or characteristic shared by all these concepts.	cheese,peanut butter,beef,panini press,olive oil	used for making sandwiches
Use the Input below to identify the common property or characteristic shared by all these concepts.	pitcher,food processor,pineapple,kiwi,cutting board	used for making smoothies
Use the Input below to identify the common property or characteristic shared by all these concepts.	lemon,tea bags,spearmint,kettle,hot water	used for making tea
Use the Input below to identify the common property or characteristic shared by all these concepts.	ruler,measuring tape,tape measure,thermometer,scales	used for measurement
Use the Input below to identify the common property or characteristic shared by all these concepts.	compass,foots,rulers,measuring tape,lasers	used for measuring
Use the Input below to identify the common property or characteristic shared by all these concepts.	thermometer,gloves,blood pressure cuff,medicine,bandages	used for medical purposes
Use the Input below to identify the common property or characteristic shared by all these concepts.	walking stick,walker,crutches,cane,stroller	used for mobility
Use the Input below to identify the common property or characteristic shared by all these concepts.	drums,amplifier,soundcard,speaker,studio headphones	used for music production
Use the Input below to identify the common property or characteristic shared by all these concepts.	piano,metronome,drum kit,tuner,piano bench	used for musical performance
Use the Input below to identify the common property or characteristic shared by all these concepts.	globe,atlases,globes,atlas,compass	used for navigation
Use the Input below to identify the common property or characteristic shared by all these concepts.	sticky notes,notebook,sticky note,note pad,journal	used for note-taking
Use the Input below to identify the common property or characteristic shared by all these concepts.	eraser,computer,pencils,notebook,copier	used for office work
Use the Input below to identify the common property or characteristic shared by all these concepts.	flosser,brush,toothpaste,dental floss stick,toothbrush	used for oral hygiene
Use the Input below to identify the common property or characteristic shared by all these concepts.	toothbrush holder,soap dispenser,pen,shelf,notebook	used for organization
Use the Input below to identify the common property or characteristic shared by all these concepts.	stapler,staple,paper clip,rubber b,paper clips	used for organizing paper
Use the Input below to identify the common property or characteristic shared by all these concepts.	binder clip,notebook,dividers,tape dispenser,staple remover	used for organizing papers
Use the Input below to identify the common property or characteristic shared by all these concepts.	lantern,first aid kit,insect repellent,sports ball,boots	used for outdoor activities
Use the Input below to identify the common property or characteristic shared by all these concepts.	charcoal grill,matches,camp stove,bbq tongs,fire pit	used for outdoor cooking
Use the Input below to identify the common property or characteristic shared by all these concepts.	seesaw,frisbee,rollerblades,tent,kite	used for outdoor recreation
Use the Input below to identify the common property or characteristic shared by all these concepts.	paint tubes,acrylic,airbrush,roller,tape	used for painting
Use the Input below to identify the common property or characteristic shared by all these concepts.	painter's tape,primer,paintbrush,ladder,tray	used for painting walls
Use the Input below to identify the common property or characteristic shared by all these concepts.	art,chairs,thinking,cities,cars	used for people
Use the Input below to identify the common property or characteristic shared by all these concepts.	makeup,shaving mirror,hairbrush,aftershave,comb	used for personal grooming
Use the Input below to identify the common property or characteristic shared by all these concepts.	tissue paper,sanitizer,toilet paper,soap,shower cap	used for personal hygiene
Use the Input below to identify the common property or characteristic shared by all these concepts.	dogs,animals,collar,pet toys,pet bed	used for pets
Use the Input below to identify the common property or characteristic shared by all these concepts.	photographer camera,battery pack,flash,zoom lens,cameras	used for photography
Use the Input below to identify the common property or characteristic shared by all these concepts.	ball,bagpipes,stages,bows,chests	used for play
Use the Input below to identify the common property or characteristic shared by all these concepts.	computer users,computers,playing cards,baseball,lines	used for play games
Use the Input below to identify the common property or characteristic shared by all these concepts.	piccolos,bass,violins,kites,frisbee	used for playing
Use the Input below to identify the common property or characteristic shared by all these concepts.	baseball bat,baseball mitt,ball,baseball cap,glove	used for playing baseball
Use the Input below to identify the common property or characteristic shared by all these concepts.	basketball shoes,hoop,hoop,sneakers,basketball shoes	used for playing basketball
Use the Input below to identify the common property or characteristic shared by all these concepts.	chess timer,pieces,chess clock,chess pieces,chessboard	used for playing chess
Use the Input below to identify the common property or characteristic shared by all these concepts.	frisbee,rock,chess pieces,checker board,board game	used for playing games
Use the Input below to identify the common property or characteristic shared by all these concepts.	golf tees,balls,golf ball,gps device,golf shoes	used for playing golf
Use the Input below to identify the common property or characteristic shared by all these concepts.	strings,guitar capo,pedals,pick,guitar strings	used for playing guitar
Use the Input below to identify the common property or characteristic shared by all these concepts.	drum,bow,record player,trumpet,saxophone	used for playing music
Use the Input below to identify the common property or characteristic shared by all these concepts.	music st,music stand,metronome,sheet music st,keyboard	used for playing piano
Use the Input below to identify the common property or characteristic shared by all these concepts.	net,table tennis table,table tennis paddle,ping pong ball,balls	used for playing ping pong
Use the Input below to identify the common property or characteristic shared by all these concepts.	pool table,balls,billiard balls,chalk,billiards table	used for playing pool
Use the Input below to identify the common property or characteristic shared by all these concepts.	cleats,cones,referee whistle,cleats,goalie gloves	used for playing soccer
Use the Input below to identify the common property or characteristic shared by all these concepts.	soccer ball,stadiums,football,ball,halls	used for playing sports
Use the Input below to identify the common property or characteristic shared by all these concepts.	ping pong paddle,paddles,ping pong balls,ping pong net,balls	used for playing table tennis
Use the Input below to identify the common property or characteristic shared by all these concepts.	tennis net,tennis racket,shorts,shoes,court lines	used for playing tennis
Use the Input below to identify the common property or characteristic shared by all these concepts.	volleyball,volleyball net,volleyball,knee pads,net	used for playing volleyball
Use the Input below to identify the common property or characteristic shared by all these concepts.	music,pain,reading,sex,writing	used for pleasure
Use the Input below to identify the common property or characteristic shared by all these concepts.	mat,yoga strap,block,yoga block,yoga mat	used for practicing yoga
Use the Input below to identify the common property or characteristic shared by all these concepts.	shellfish,sushi,kitchen shears,grape,immersion blender	used for preparing food
Use the Input below to identify the common property or characteristic shared by all these concepts.	railings,houses,bicycle helmet,ski helmet,rifles	used for protection
Use the Input below to identify the common property or characteristic shared by all these concepts.	umbrella,rain boots,rubber boots,waterproof boots,coat	used for protection from rain
Use the Input below to identify the common property or characteristic shared by all these concepts.	lightbulb,chandelier,candles,flashlight,lantern	used for providing light
Use the Input below to identify the common property or characteristic shared by all these concepts.	sound mixer,microphone,amplifier,soundboard,speaker	used for public speaking
Use the Input below to identify the common property or characteristic shared by all these concepts.	laptop,articles,paperback book,e-reader,hardcover book	used for reading
Use the Input below to identify the common property or characteristic shared by all these concepts.	paintings,rivers,bicycle,skateboard,parties	used for recreation
Use the Input below to identify the common property or characteristic shared by all these concepts.	bb gun,bike,rollerblade,soccer ball,scooter	used for recreational activities
Use the Input below to identify the common property or characteristic shared by all these concepts.	chair,bathing,skating,shower,harmonicas	used for relaxation
Use the Input below to identify the common property or characteristic shared by all these concepts.	chaise lounge,couch,loveseat,ottoman,hammock	used for relaxing
Use the Input below to identify the common property or characteristic shared by all these concepts.	camping chair,picnic blanket,umbrella,sunshade,lounge chair	used for relaxing outdoors
Use the Input below to identify the common property or characteristic shared by all these concepts.	seats,sofa,pools,dens,couch	used for resting
Use the Input below to identify the common property or characteristic shared by all these concepts.	inline skates,roller skates,bicycles,stockmans,skateboard	used for riding
Use the Input below to identify the common property or characteristic shared by all these concepts.	carabiner,climbing shoes,chalk bag,harness,chalk	used for rock climbing
Use the Input below to identify the common property or characteristic shared by all these concepts.	rink,elbow pads,rollerskates,pads,roller skates	used for roller skating
Use the Input below to identify the common property or characteristic shared by all these concepts.	sports bra,foots,sports watch,athletic socks,watch	used for running
Use the Input below to identify the common property or characteristic shared by all these concepts.	bike helmet,safety goggles,airbag,elbow pads,fire extinguisher	used for safety
Use the Input below to identify the common property or characteristic shared by all these concepts.	boat,sailing boat,lakes,sea,life jacket	used for sailing
Use the Input below to identify the common property or characteristic shared by all these concepts.	calculator,highlighter,pencil,eraser,backpack	used for school
Use the Input below to identify the common property or characteristic shared by all these concepts.	pencil case,bookbag,notebook,binder,pencil bag	used for school supplies
Use the Input below to identify the common property or characteristic shared by all these concepts.	safety goggles,beaker,gloves,slide,telescope	used for science experiments
Use the Input below to identify the common property or characteristic shared by all these concepts.	pipettes,slide,pipette,x-ray machine,cover slips	used for scientific research
Use the Input below to identify the common property or characteristic shared by all these concepts.	scuba tank,dive mask,fins,fins,oxygen tank	used for scuba diving
Use the Input below to identify the common property or characteristic shared by all these concepts.	sculpting clay,sculpture knife,clay,carving tool,firing kiln	used for sculpting
Use the Input below to identify the common property or characteristic shared by all these concepts.	spice,pepper,salt,garlic,chives	used for seasoning
Use the Input below to identify the common property or characteristic shared by all these concepts.	cinnamon,pepper grinder,herbs,spices,pepper	used for seasoning food
Use the Input below to identify the common property or characteristic shared by all these concepts.	benches,chairs,bean bag,stools,love seat	used for seating
Use the Input below to identify the common property or characteristic shared by all these concepts.	combination lock,keychain,rope,safe,bungee cord	used for securing items
Use the Input below to identify the common property or characteristic shared by all these concepts.	gate,revolvers,house key,chain,car keys	used for security
Use the Input below to identify the common property or characteristic shared by all these concepts.	telescope,eyeglasses,microscope,contacts,glasses	used for seeing
Use the Input below to identify the common property or characteristic shared by all these concepts.	decanter,wine bottle opener,milk jug,pitcher,champagne flute	used for serving beverages
Use the Input below to identify the common property or characteristic shared by all these concepts.	decanter,sugar bowl,pitcher,mugs,wine glass	used for serving drinks
Use the Input below to identify the common property or characteristic shared by all these concepts.	plate,serving dish,salad fork,glasses,mixing bowl	used for serving food
Use the Input below to identify the common property or characteristic shared by all these concepts.	needles,embroidery machines,thimble,pin,treadle sewing machine	used for sewing
Use the Input below to identify the common property or characteristic shared by all these concepts.	cabin,buildings,treehouse,houses,house	used for shelter
Use the Input below to identify the common property or characteristic shared by all these concepts.	machine guns,rifles,pistol,bullets,guns	used for shooting
Use the Input below to identify the common property or characteristic shared by all these concepts.	shopping malls,grocery stores,cash,trolley,markets	used for shopping
Use the Input below to identify the common property or characteristic shared by all these concepts.	beanbag,stool,tables,sofa,table	used for sitting
Use the Input below to identify the common property or characteristic shared by all these concepts.	armchair,bed,chair,beds,sofa	used for sitting or sleeping
Use the Input below to identify the common property or characteristic shared by all these concepts.	elbow pads,skateboard deck,box jump,ramps,pads	used for skateboarding
Use the Input below to identify the common property or characteristic shared by all these concepts.	knee pads,roller blades,roller skates,ice skate,rollerblades	used for skating
Use the Input below to identify the common property or characteristic shared by all these concepts.	skis,gloves,helmet,ski lift,chairlift	used for skiing
Use the Input below to identify the common property or characteristic shared by all these concepts.	hotels,accommodation,beds,homes,master bedrooms	used for sleep
Use the Input below to identify the common property or characteristic shared by all these concepts.	daybed,train stations,duvets,accommodation,motels	used for sleeping
Use the Input below to identify the common property or characteristic shared by all these concepts.	mattress,hammock,couch,cushion,pillow	used for sleeping or resting
Use the Input below to identify the common property or characteristic shared by all these concepts.	gloves,ski jacket,snowboard,boots,sled	used for snow sports
Use the Input below to identify the common property or characteristic shared by all these concepts.	snow boots,snow goggles,goggles,boots,ski goggles	used for snowboarding
Use the Input below to identify the common property or characteristic shared by all these concepts.	soccer cleats,golf clubs,golf ball,megaphone,whistle	used for sports
Use the Input below to identify the common property or characteristic shared by all these concepts.	constellation chart,telescope,constellation map,telescope,computer program	used for stargazing
Use the Input below to identify the common property or characteristic shared by all these concepts.	fuel,charcoal,lighter,lighter fluid,firewood	used for starting fires
Use the Input below to identify the common property or characteristic shared by all these concepts.	wardrobe,dresser,closet,jars,backpack	used for storage
Use the Input below to identify the common property or characteristic shared by all these concepts.	chest of drawers,rack,closet,hanger,nightstand	used for storing clothes
Use the Input below to identify the common property or characteristic shared by all these concepts.	weights,kettlebells,weight bench,weight machine,barbell	used for strength training
Use the Input below to identify the common property or characteristic shared by all these concepts.	textbook,lamp,highlighter,ruler,chair	used for studying
Use the Input below to identify the common property or characteristic shared by all these concepts.	hair spray,headb,hair dryer,hairdryer,curlers	used for styling hair
Use the Input below to identify the common property or characteristic shared by all these concepts.	towel,insect repellent,sunhat,sunblock,lip balm	used for sun protection
Use the Input below to identify the common property or characteristic shared by all these concepts.	surf wax,wax,wetsuit,sunscreen,boogie board	used for surfing
Use the Input below to identify the common property or characteristic shared by all these concepts.	streams,mask,scuba gear,floaty,rivers	used for swimming
Use the Input below to identify the common property or characteristic shared by all these concepts.	marker,pen,pencil,binder,notebook	used for taking notes
Use the Input below to identify the common property or characteristic shared by all these concepts.	drone,computer,tablet,camera,phones	used for taking pictures
Use the Input below to identify the common property or characteristic shared by all these concepts.	marker,board eraser,blackboard,students,pianos	used for teaching
Use the Input below to identify the common property or characteristic shared by all these concepts.	stopwatch,digital watch,hourglass,wristwatch,timer	used for telling time
Use the Input below to identify the common property or characteristic shared by all these concepts.	court shoes,balls,tennis balls,tennis shoes,tennis racket	used for tennis
Use the Input below to identify the common property or characteristic shared by all these concepts.	wristwatch,wall clock,stopwatch,watch,stop watch	used for timekeeping
Use the Input below to identify the common property or characteristic shared by all these concepts.	ambulances,airplanes,helicopters,boats,motorways	used for transport
Use the Input below to identify the common property or characteristic shared by all these concepts.	duffle bag,vehicles,headphones,freeways,garment bag	used for travel
Use the Input below to identify the common property or characteristic shared by all these concepts.	travel backpack,highways,hotel reservation,buses,boats	used for traveling
Use the Input below to identify the common property or characteristic shared by all these concepts.	roller skates,passport,ticket,suitcase,travel pillow	used for travelling
Use the Input below to identify the common property or characteristic shared by all these concepts.	contact solution,reading glasses,lasik,case,glasses	used for vision correction
Use the Input below to identify the common property or characteristic shared by all these concepts.	legs,fields,floors,shoes,streets	used for walking
Use the Input below to identify the common property or characteristic shared by all these concepts.	fireplaces,comforter,duvet,fireplace,blanket	used for warmth
Use the Input below to identify the common property or characteristic shared by all these concepts.	sink,drying rack,dish towel,dishwasher detergent,dish rack	used for washing dishes
Use the Input below to identify the common property or characteristic shared by all these concepts.	hair,baths,showers,linen,washing machines	used for washings
Use the Input below to identify the common property or characteristic shared by all these concepts.	bidet,compost bin,bin,urinal,toilet	used for waste disposal
Use the Input below to identify the common property or characteristic shared by all these concepts.	television,streaming service,popcorn,dvd,video rental	used for watching movies
Use the Input below to identify the common property or characteristic shared by all these concepts.	streaming service,tv,television,projector,remote control	used for watching movies or tv shows
Use the Input below to identify the common property or characteristic shared by all these concepts.	cruise ship,sailboat,pool noodle,paddleboard,boats	used for water activities
Use the Input below to identify the common property or characteristic shared by all these concepts.	snorkel gear,flippers,paddles,sail,boogie board	used for water sports
Use the Input below to identify the common property or characteristic shared by all these concepts.	speedboat,kayak,ship,sailboat,canoe	used for water transportation
Use the Input below to identify the common property or characteristic shared by all these concepts.	paintbrush,watercolor paper,watercolor,easel,brush pen	used for watercolor painting
Use the Input below to identify the common property or characteristic shared by all these concepts.	shoes,dress,hats,jewelry,vinyl	used for wearing
Use the Input below to identify the common property or characteristic shared by all these concepts.	weightlifting gloves,weights,medicine ball,weight bench,weightlifting belt	used for weightlifting
Use the Input below to identify the common property or characteristic shared by all these concepts.	welding mask,welding goggles,welding tools,welding gloves,electrodes	used for welding
Use the Input below to identify the common property or characteristic shared by all these concepts.	parka,ski poles,snowmobile,snowboards,ski boots	used for winter sports
Use the Input below to identify the common property or characteristic shared by all these concepts.	handkerchiefs,napkin,paper towel,napkins,handkerchief	used for wiping
Use the Input below to identify the common property or characteristic shared by all these concepts.	drill,maple,penknife,pine,nails	used for woodworking
Use the Input below to identify the common property or characteristic shared by all these concepts.	computers,computer,mechanisms,tools,equipment	used for work
Use the Input below to identify the common property or characteristic shared by all these concepts.	offices,chair,using computers,dens,computer users	used for working
Use the Input below to identify the common property or characteristic shared by all these concepts.	elliptical,weights,resistance bands,workout clothes,resistance band	used for working out
Use the Input below to identify the common property or characteristic shared by all these concepts.	typing,pencil,paper,word processor,chalk	used for writing
Use the Input below to identify the common property or characteristic shared by all these concepts.	pen,marker,sketchpad,highlighter,ruler	used for writing and drawing
Use the Input below to identify the common property or characteristic shared by all these concepts.	pencil sharpener,ink,paint,markers,notebook	used for writing or drawing
Use the Input below to identify the common property or characteristic shared by all these concepts.	calligraphy brush,fountain pen,pen,quill pen,paper	used for writing/drawing
Use the Input below to identify the common property or characteristic shared by all these concepts.	shovel,rake,fertilizer,hedge clipper,trimmer	used for yard maintenance
Use the Input below to identify the common property or characteristic shared by all these concepts.	wheelbarrow,weed eater,pruning shears,hedge trimmer,weed whacker	used for yard work
Use the Input below to identify the common property or characteristic shared by all these concepts.	yoga blocks,yoga mat,yoga strap,strap,yoga straps	used for yoga
Use the Input below to identify the common property or characteristic shared by all these concepts.	walnut,spatula,pecan,eggs,whisk	used in baking
Use the Input below to identify the common property or characteristic shared by all these concepts.	granite,copper,steel,aluminum,wood	used in building construction
Use the Input below to identify the common property or characteristic shared by all these concepts.	nail,oak,sawhorse,scaffolding,cement	used in construction
Use the Input below to identify the common property or characteristic shared by all these concepts.	chicken,herbs,margarine,peanut,chef's knife	used in cooking
Use the Input below to identify the common property or characteristic shared by all these concepts.	pumpkin seeds,potholders,sugar,salt,pot holder	used in cooking and baking
Use the Input below to identify the common property or characteristic shared by all these concepts.	sorbet,raspberries,hazelnut,frozen yogurt,apricot	used in desserts
Use the Input below to identify the common property or characteristic shared by all these concepts.	paint tray,paint roller,watercolor,acrylic,easel	used in painting
Use the Input below to identify the common property or characteristic shared by all these concepts.	kale,onion,lettuce,carrot,asparagus	used in salads
Use the Input below to identify the common property or characteristic shared by all these concepts.	kiwi,blueberries,blueberry,raspberries,avocado	used in smoothies
Use the Input below to identify the common property or characteristic shared by all these concepts.	ping pong paddle,goalpost,baseball glove,soccer goal,baseball bat	used in sports
Use the Input below to identify the common property or characteristic shared by all these concepts.	toilet,bathmat,soap,soap dish,shower curtain	used in the bathroom
Use the Input below to identify the common property or characteristic shared by all these concepts.	freezer,cutting board,kitchen towels,oven mitts,pot holders	used in the kitchen
Use the Input below to identify the common property or characteristic shared by all these concepts.	chisel,hammer,plane,mallet,block of wood	used in woodworking
Use the Input below to identify the common property or characteristic shared by all these concepts.	alarm,clocks,timers,clock,watches	used to tell time
Use the Input below to identify the common property or characteristic shared by all these concepts.	all facts,most bacteria,checkbook,thinking outside of box,negative expertise	useful
Use the Input below to identify the common property or characteristic shared by all these concepts.	cooking utensils,spatula,knife,plate,matchs	utensils
Use the Input below to identify the common property or characteristic shared by all these concepts.	utilities,water,water,gas,plumbing	utilities
Use the Input below to identify the common property or characteristic shared by all these concepts.	laughs,pagings,speechs,exclamations,pronunciation	utterances
Use the Input below to identify the common property or characteristic shared by all these concepts.	marbles,diamonds,police dogs,diamond,silver	valuable
Use the Input below to identify the common property or characteristic shared by all these concepts.	book values,face values,money,standards,importance	values
Use the Input below to identify the common property or characteristic shared by all these concepts.	vines,woody plants,desert plants,angiosperms,weeds	vascular plants
Use the Input below to identify the common property or characteristic shared by all these concepts.	castor oil,canolas,corn oil,peanut oil,canola oil	vegetable oil
Use the Input below to identify the common property or characteristic shared by all these concepts.	tomatos,lettuce,green pepper,bell peppers,potatoes	vegetables
Use the Input below to identify the common property or characteristic shared by all these concepts.	tomato,spinach,carrots,onion,celery	vegetables commonly used in salads
Use the Input below to identify the common property or characteristic shared by all these concepts.	green beans,potato,eggplant,bell pepper,pepper	vegetables used in cooking
Use the Input below to identify the common property or characteristic shared by all these concepts.	pepper,bell peppers,carrot,squash,zucchini	vegetables used in salads
Use the Input below to identify the common property or characteristic shared by all these concepts.	stands,leaf,growth,gardens,briers	vegetation
Use the Input below to identify the common property or characteristic shared by all these concepts.	sedan,boats,bike,truck,glass	vehicles
Use the Input below to identify the common property or characteristic shared by all these concepts.	suv,bicycle,wagons,bike,bus	vehicles for transportation
Use the Input below to identify the common property or characteristic shared by all these concepts.	car,motorcycle,van,truck,scooter	vehicles used for transportation
Use the Input below to identify the common property or characteristic shared by all these concepts.	snake,spider,wasps,toads,spiders	venomous animals
